,0,1,2,3,4,5,6,7,8,9,10
5, 1st Floor Studio Suite   2 Queen Beds w Kitchen, Baltimore,82,4  , Studio , 2  , 1 private bath,Self check-in , Wifi , Air conditioning , Elevator
6, Exquisite room close to BWI   Baltimore, Elkridge,48,2  , 1  , 1  , 1 private bath,Wifi , Air conditioning , Free parking,None
7, Stylish  Totally Private Studio Apt.Close to BWI., Linthicum Heights,49,2  , 1  , 1  , 1 bath,Self check-in , Wifi , Air conditioning , Indoor fireplace
8, 5 Apartment Exclusive for Grad and Med Students, Baltimore,30,2  , 1  , 1  , 1 bath,Wifi , Air conditioning , Washer , Dryer
9, At Fells Point Cityside, Baltimore,85,2  , 1  , 1  , 1 bath,Self check-in , Wifi , Air conditioning , Dishwasher
10, (5) master room private bath   in fells point, Baltimore ,49,2  , 1  , 1  , 1 private bath,Self check-in , Wifi , Air conditioning , Washer
11, Beautiful Master Suite in Newly Renovated Home!, Baltimore,39,2  , 1  , 1  , 2.5 baths,Self check-in , Wifi , Air conditioning , Dishwasher
12, Brook’s Bedroom, Baltimore,32,2  , 1  , 1  , 1 private bath,Self check-in , Air conditioning , Kitchen , Free parking
13, 1st Floor Studio Suite   1 Queen Bed & Kitchen, Baltimore,74,2  , Studio , 1  , 1 private bath,Self check-in , Wifi , Air conditioning , Elevator
14, The Reading Room, Baltimore,80,2  , 1  , 1  , 1 bath,Wifi , Air conditioning , Kitchen,None
15, Close to BWI  Live casino and Mall  private Bed, Hanover,28,1  , 1  , 1  , 1 shared bath,Self check-in , Wifi , Air conditioning , Pets allowed
16, Historic Rowhome by JHMI (Room 1), Baltimore,35,2  , 1  , 1  , 2 shared baths,Self check-in , Wifi , Air conditioning , Pets allowed
17, Comfort Box 1, Baltimore,32,2  , 1  , 2  , 1.5 shared baths,Wifi , Air conditioning , Washer , Dishwasher
18, Private and quiet next to National Historic Site, Towson,49,2  , 1  , 1  , 1 private bath,Self check-in , Wifi , Air conditioning , Washer
19, Relaxing home in Catonsville; Bedroom #1 of 3., Catonsville,39,1  , 3  , 3  , 2.5 shared baths,Wifi , Air conditioning , Indoor fireplace , Washer
0, A space to be away from home, Nottingham,30,2  , 1  , 1  , 1 shared bath,Wifi , Free parking , Kitchen , Heating
1, Grand Escape, Baltimore,40,1  , 1  , 1  , 1 private bath,Wifi , Kitchen , Heating,None
2, Condo Juanbrina of Fells Point, Baltimore,89,4  , Studio , 0  , 1 bath,Wifi , Free parking , Kitchen , Heating
3, Beautiful Master bedroom Baltimore Downtown by JHU, Baltimore,30,2  , 1  , 1  , 1.5 shared baths,Wifi , Kitchen , Heating,None
4, Patterson park apartment 2, Baltimore,48,2  , 1  , 1  , 1 bath,Wifi , Free parking , Kitchen , Heating
5, (4) king size bed   big deck next JHH FELLS point, Baltimore ,46,2  , 1  , 1  , 1 shared bath,Wifi , Kitchen , Heating,None
6,   420 Friendly  Boutique Bedroom and Rooftop Deck, Baltimore,45,2  , 1  , 1  , 1 shared bath,Wifi , Heating,None,None
7, Ann Basement Bedroom, Baltimore,36,1  , 1  , 1  , 1 private bath,Wifi , Kitchen,None,None
8, Cozy and Luxury room near BWI and Fort Meade, Hanover,35,2  , 1  , 1  , 1 shared bath,Wifi , Free parking , Kitchen , Heating
9, The 'Local' Apartment  Rated Best Stay!!!  #4, Baltimore,45,2  , 1  , 1  , 1 bath,Wifi , Kitchen , Heating,None
10, Chic Private1BR Apt #5 UMMC  UB  MICA  HOPKINS, Baltimore,44,4  , 1  , 3  , 1 bath,Wifi , Kitchen , Heating,None
11, (Five) sunshine bedroom next to John Hopkins univ, Baltimore,43,2  , 1  , 1  , 2 shared baths,Wifi , Free parking , Kitchen , Heating
12, Mt Vernon Inn 1 near AMTRAK, Baltimore,40,2  , 1  , 1  , 1 shared bath,Wifi , Heating,None,None
13, Robin Room   Affordable and Cozy Next to Campus, Baltimore,36,2  , 1  , 1  , 2 shared baths,Wifi , Kitchen , Heating,None
14, Hopkins & Fells Point Gem! Pet Friendly!, Baltimore,140,6  , 2  , 2  , 1.5 baths,Wifi , Kitchen , Heating,None
15, Charming House near Farmer’s Market Patio View, Baltimore,31,2  , 1  , 1  , 1 shared bath,Wifi , Free parking , Kitchen , Heating
16, Plant Oasis Private Room in the Heart of Baltimore, Baltimore,54,2  , 1  , 1  , 1 private bath,Wifi , Kitchen , Heating,None
17, Luxury Inner Harbor Loft   Close to everything!!, Baltimore,90,4  , 1  , 2  , 1 bath,Wifi , Kitchen , Heating,None
18, NEW bedroom with private balcony next fellspoint, Baltimore ,46,2  , 1  , 1  , 1.5 shared baths,Wifi , Kitchen , Heating,None
19, Near Harbor  Stadium  Johns Hopkins BALTIMORE, Baltimore,22,2  , 1  , 1  , 1.5 shared baths,Wifi , Kitchen , Heating,None
0, Cozy Federal hill Studio.  Great location!!, Baltimore,56,2  , Studio , 1  , 1 bath,Self check-in , Wifi , Air conditioning , Pets allowed
1, Convention Center 4BR 3Ba   3 FREE PARKING SPOTS, Baltimore,150,15  , 4  , 6  , 3 baths,Self check-in , Wifi , Air conditioning , Washer
2, 3 Luxury Living For Grad Students, Baltimore,20,1  , 1  , 1  , 1 shared bath,Self check-in , Wifi , Air conditioning , Washer
3, Madison House, Baltimore,100,6  , 3  , 4  , 1 bath,Wifi , Air conditioning , Dishwasher , Kitchen
4, Modern one bedroom rowhome  NEW, Baltimore,103,4  , 1  , 1  , 1 bath,Self check-in , Wifi , Air conditioning , Washer
5, Everything you need   2BR in Nottingham, Nottingham,124,5  , 2  , 2  , 1.5 baths,Wifi , Gym , Pool , Pets allowed
6, Fast Wifi & Disinfected! Perfect for remote work!, Baltimore,103,5  , 1  , 1  , 1 bath,Self check-in , Wifi , Air conditioning , Pets allowed
7, Downtown Baltimore Apartment, Baltimore,99,2  , 1  , 1  , 1 bath,Self check-in , Wifi , Air conditioning , Elevator
8, Luxury Harbor Oasis   Free Private Parking!!!, Baltimore,74,4  , 1  , 2  , 1 bath,Wifi , Air conditioning , Washer , Dryer
9, Comfort Box 2, Baltimore,35,2  , 1  , 1  , 1 shared bath,Wifi , Air conditioning , Washer , Dryer
10, 1Beautiful House for Grad Student, Baltimore,23,1  , 1  , 1  , 1.5 shared baths,Self check-in , Wifi , Air conditioning , Indoor fireplace
11, Where Comfort and Luxury Meet   Marble Hill 310, Baltimore,40,2  , 1  , 1  , 1 private bath,Self check-in , Wifi , Air conditioning , Free parking
12, Mt. Vernon   Biddle Street Inn 203, Baltimore,40,2  , 1  , 1  , 1 shared bath,Self check-in , Wifi , Air conditioning,None
13, Cozy bedroom next Johns Hopkins hosp  fells point, Baltimore,40,2  , 1  , 1  , 1 shared bath,Self check-in , Wifi , Air conditioning , Washer
14, Victorian Charm in Charles Village, Baltimore,75,2  , 1  , 1  , 1.5 baths,Wifi , Air conditioning , Breakfast , Washer
15, Full Bedroom Minutes Away From The Harbor!, Baltimore,23,4  , 1  , 1  , 1.5 shared baths,Wifi , Air conditioning , Gym , Indoor fireplace
16, Private bedrooms in Baltimore near JH, Baltimore,27,2  , 1  , 1  , 1.5 shared baths,Wifi , Air conditioning,None,None
17, Downtown Luxury Stay with Bright  Energy, Baltimore,137,3  , 1  , 1  , 1 bath,Wifi , Air conditioning , Breakfast , Gym
18, Townhouse Bedroom   UMMC  John Hopkins  Stadiums, Baltimore,30,2  , 1  , 1  , 1.5 shared baths,Self check-in , Wifi , Air conditioning , Washer
19, Cozy apartment for you   3BR in Owings Mill, Owings Mills,161,7  , 3  , 3  , 2 baths,Wifi , Gym , Pool , Pets allowed
0, Comfy Stay Near BWI, Millersville,33,2  , 1  , 1  , 1 private bath,Wifi , Free parking , Kitchen , Heating
1, Entire Loft Style One Bedroom Apartment @ JHU, Baltimore,57,2  , 1  , 1  , 1 bath,Wifi , Kitchen , Heating,None
2, Charming 3 Bedroom Rowhouse in Canton (w  parking), Baltimore,109,6  , 3  , 3  , 1.5 baths,Wifi , Free parking , Kitchen , Heating
3, Vintage Mount Vernon apartment, Baltimore,45,2  , 1  , 1  , 1 shared bath,Wifi , Heating,None,None
4, Victorian Charm in Charles Village, Baltimore,75,2  , 1  , 1  , 1.5 baths,Wifi , Kitchen , Heating,None
5, City Living at its Finest! 7 minutes from downtown, Baltimore,65,4  , 1  , 1  , 1 bath,Wifi , Free parking , Kitchen , Heating
6, Tranquil space, Owings Mills,29,1  , 1  , 1  , 1.5 shared baths,Wifi , Free parking , Kitchen , Heating
7, Modern Apartment with Private Entry in Upper Fells, Baltimore,71,3  , 1  , 1  , 1 bath,Wifi , Kitchen , Heating,None
8, Private Basement Apartment Near BWI and Baltimore, Glen Burnie,43,3  , 1  , 2  , 1 bath,Wifi , Kitchen , Heating,None
9, Light Filled Artist's Loft (1) Block from Hopkins, Baltimore,44,4  , 1  , 2  , 1 bath,Wifi , Kitchen , Heating,None
10, Private and quiet next to National Historic Site, Towson,49,2  , 1  , 1  , 1 private bath,Wifi , Free parking , Kitchen , Heating
11, 1611 Queen room 1 shared bath for professional, Baltimore,22,1  , 1  , 1  , 1 shared bath,Wifi , Free parking , Kitchen , Heating
12, Location  Location  Location, Baltimore,79,5  , 2  , 2  , 1.5 baths,Wifi , Kitchen , Heating,None
13, A clean safe room for you  next to Johns Hopkins, Baltimore,50,1  , 1  , 1  , 1 private bath,Wifi , Kitchen , Heating,None
14, In town Rustic Canopy Room w Private Bath, Baltimore,50,2  , 1  , 1  , 1 bath,Wifi , Free parking , Kitchen , Heating
15, Cozy Quaint Studio minutes from JHU Campus, Baltimore,45,2  , 1  , 1  , 1 bath,Wifi , Free parking , Kitchen , Heating
16, Close to BWI  Live casino and Mall  private Bed, Hanover,28,1  , 1  , 1  , 1 shared bath,Wifi , Free parking , Kitchen , Heating
17, Exquisite! Roof Deck! PRIVATE Parking! Sleeps 9, Baltimore,151,9  , 3  , 3  , 3 baths,Wifi , Free parking , Kitchen , Heating
18, Ednor Gardens Retreat, Baltimore,55,2  , 1  , 0  , 1 bath,Wifi , Free parking , Kitchen , Heating
19, 2 Luxury Living For Grad Students, Baltimore,26,1  , 1  , 1  , 1 shared bath,Wifi , Kitchen , Heating,None
