,0,1,2,3,4,5,6,7,8,9,10
6, Destination: Baltimore   Reserved thru July 2021, Baltimore,85,2  , 2  , 2  , 2.5 baths,Wifi , Free parking , Kitchen , Heating
7, Cozy Room near John Hopkins and Fells waterfront, Baltimore,49,2  , 1  , 1  , 1 bath,Wifi , Heating,None,None
8, A room One block from Johns Hopkins university (5), Baltimore,29,2  , 1  , 1  , 2.5 shared baths,Wifi , Kitchen , Heating,None
9, Spacious private room by John Hopkins Fells water, Baltimore,40,2  , 1  , 1  , 1.5 shared baths,Wifi , Kitchen , Heating,None
10, Cozy and Luxury room near BWI and Fort Meade,t,35,2  , 1  , 1  , 1 shared bath,Wifi , Free parking , Kitchen , Heating
11, BALTIMORE   Inner Harbor  Johns Hopkins  Medstar,t,20,2  , 1  , 1  , 1.5 shared baths,Wifi , Free parking , Heating,None
12, Victoria’s Inn,t,30,1  , 1  , 1  , 1 shared bath,Wifi , Free parking , Kitchen , Heating
13, Unique Abode, Hanover,45,1  , 1  , 1  , 1 bath,Wifi , Free parking , Kitchen , Heating
14, The 'Local' Apartment  Rated Best Stay!!!  #4, Baltimore,45,2  , 1  , 1  , 1 bath,Wifi , Kitchen , Heating,None
15, small cozy bedroom  Johns Hopkins hos  fells point, Nottingham,31,1  , 1  , 1  , 1.5 shared baths,Wifi , Kitchen , Heating,None
16,  ️️More Than A Hotel   Almost Downtown 309  ️️, Glen Burnie,33,2  , 1  , 1  , 1 private bath,Wifi , Free parking , Heating,None
17, 1 GLAMOROUS GRAD AND MED STUDENT HOUSING, Baltimore,23,1  , 1  , 1  , 1.5 shared baths,Wifi , Kitchen , Heating,None
18, Cheerful Room in Historic Woodberry, Baltimore,32,2  , 1  , 1  , 2 shared baths,Wifi , Kitchen , Heating,None
19, Chic  Downtown Condo Baltimore w  Parking View, Baltimore,59,2  , 1  , 1  , 1 bath,Wifi , Kitchen , Heating,None
0, 1200 sqft  2BR LOFT near JHU. FREE Parking., Baltimore,61,6  , 2  , 4  , 1.5 baths,Self check-in , Wifi , Air conditioning , Washer
1, Little bedroom next fells point, Baltimore,31,2  , 1  , 1  , 1.5 baths,Self check-in , Wifi , Air conditioning , Washer
2, Sunny & separate apartment in Baltimore townhouse, Baltimore,50,5  , 1  , 2  , 1 bath,Self check-in , Wifi , Air conditioning , Breakfast
3, Industrial Chic Apt in Fed Hill   Free Parking, Baltimore,88,6  , 2  , 2  , 1.5 baths,Self check-in , Wifi , Air conditioning , Elevator
4, Efficiency unit, Baltimore,38,2  , 1  , 1  , 1 bath,Wifi , Air conditioning , Washer , Dryer
5, Stylish Harbor Loft   UMMC   JHHS   Mercy, Baltimore,73,4  , 1  , 2  , 1 bath,Wifi , Air conditioning , Elevator , Washer
6, Fed Hill apartment two bedrooms great location, Baltimore,75,5  , 2  , 2  , 1.5 baths,Wifi , Air conditioning , Pets allowed , Dishwasher
7, Private 2 bedroom apt., Baltimore,60,4  , 2  , 2  , 1 bath,Wifi , Air conditioning , Pets allowed , Washer
8, Mid town Baltimore  Historic Art District, Baltimore,40,2  , 1  , 1  , 1 private bath,Self check-in , Air conditioning , Washer , Dryer
9, Historic Bank in Fells Point. Hopkins. Harbor., Baltimore,101,4  , 1  , 2  , 1 bath,Self check-in , Wifi , Air conditioning , Washer
10, Affordable Furnished LuxuryTownhouse near Stadiums, Baltimore,109,5  , 2  , 2  , 1.5 baths,Self check-in , Wifi , Air conditioning , Pets allowed
11, Studio Apt. close to Hopkins Univ & Union Memorial, Baltimore,57,2  , 1  , 2  , 1 bath,Self check-in , Wifi , Air conditioning , Washer
12, Cozy 1 BR apt near Baltimore City Attractions, Baltimore,52,2  , 1  , 2  , 1 bath,Self check-in , Wifi , Air conditioning , Kitchen
13, Luxury Apt#2 UMMC  BAYVIEW  MERCY  HOPKINS  CASINO, Baltimore,49,4  , 1  , 2  , 1 bath,Self check-in , Wifi , Air conditioning , Kitchen
14, 0.5 Mile to Live Casino Mall  Walmart Close to BWI, Hanover,29,1  , 1  , 1  , 1 shared bath,Wifi , Air conditioning , Washer , Dryer
15, Notel 9 Getaway Suite with Sauna, Baltimore,50,2  , 1  , 1  , 1 bath,Wifi , Air conditioning,None,None
16, Cozy Townhome close to JHU  MSU  and Loyola, Baltimore,25,2  , 1  , 1  , 1 shared bath,Wifi , Air conditioning , Kitchen , Free parking
17, Private  Separate Entrance Basement Studio Apt., Baltimore,45,2  , 1  , 1  , 1 bath,Self check-in , Wifi , Air conditioning,None
18, SPACIOUS STUDIO APARTMENT   BALTIMORE INNER HARBOR, Baltimore,75,4  , Studio , 1  , 1 bath,Air conditioning , Gym , Washer , Dryer
19, Luxury Apartment by the Train Station, Baltimore,60,3  , 1  , 1  , 1 bath,Air conditioning , Elevator , Gym , Washer
0, Private suite close to John Hopkins  travel nurses, Baltimore,80,2  , 1  , 1  , 1 private bath,Wifi , Kitchen , Heating,None
1, Fell's Point 2BR Hideaway, Baltimore,125,4  , 2  , 3  , 1 bath,Wifi , Kitchen , Heating,None
2, Historic Rowhome Near JHMI (Room 3), Baltimore,35,2  , 1  , 1  , 2 shared baths,Wifi , Free parking , Kitchen , Heating
