,0,1,2,3,4,5,6,7,8,9,10,11,12
19, Luxury Floor to ceiling Window Condo,Entire condominium, Center City,147,2  , 1  , 1  , 1 bath,Wifi , Air conditioning , Kitchen , Gym,https://airbnb.com/rooms/46397309?previous_page_section_name=1000&federated_search_id=9560c9a6-7754-482f-8a70-1d50207a4ee7
0, MiCasaZ S  NJ   10 min to Philly,Entire house, Pennsauken,105,8  , 4  , 5  , 2 baths,Wifi , Kitchen , Heating,None,https://airbnb.com/rooms/24777979?previous_page_section_name=1000&federated_search_id=37c612bc-6089-4f9e-a5dc-23aeb0d8a7e7
1, Private Hideaway in Prime Location Center City,Private room, South Philadelphia,37,2  , 1  , 1  , 2 shared baths,Wifi , Heating , Self check-in,None,https://airbnb.com/rooms/19486630?previous_page_section_name=1000&federated_search_id=37c612bc-6089-4f9e-a5dc-23aeb0d8a7e7
2, Garden Suite Near Rittenhouse Square,Private room, South Philadelphia,34,2  , 1  , 1  , 2 shared baths,Wifi , Heating,None,None,https://airbnb.com/rooms/19958931?previous_page_section_name=1000&federated_search_id=37c612bc-6089-4f9e-a5dc-23aeb0d8a7e7
3, Large room nr transportatin 228B1,Private room, Overbrook Park,20,1  , 1  , 1  , 1 shared bath,Wifi , Kitchen , Heating , Self check-in,https://airbnb.com/rooms/6978602?previous_page_section_name=1000&federated_search_id=37c612bc-6089-4f9e-a5dc-23aeb0d8a7e7
4, Gem near Rittenhouse   The Loft,Entire loft, South Philadelphia,132,2  , 1  , 1  , 1 bath,Wifi , Kitchen , Heating , Self check-in,https://airbnb.com/rooms/25579958?previous_page_section_name=1000&federated_search_id=37c612bc-6089-4f9e-a5dc-23aeb0d8a7e7
5,  Modern Private Room 3   Near Fishtown viaTrain!!,Private room, Northeast Philadelphia,22,2  , 1  , 1  , 1 shared bath,Wifi , Heating , Self check-in,None,https://airbnb.com/rooms/39621114?previous_page_section_name=1000&federated_search_id=37c612bc-6089-4f9e-a5dc-23aeb0d8a7e7
6, The Dreamers Residence Convenient 1BD Center City,Entire apartment, Gayborhood,69,6  , 1  , 1  , 1 bath,Wifi , Kitchen , Heating , Self check-in,https://airbnb.com/rooms/41116579?previous_page_section_name=1000&federated_search_id=37c612bc-6089-4f9e-a5dc-23aeb0d8a7e7
7, Serene Work Oasis   Perfect Hideaway (Olney),Private room, Olney,25,2  , 1  , 1  , 1 shared bath,Wifi , Kitchen , Heating , Self check-in,https://airbnb.com/rooms/46774261?previous_page_section_name=1000&federated_search_id=37c612bc-6089-4f9e-a5dc-23aeb0d8a7e7
8, Fantastic Comfort! Downtown   Old City! Sleeps 5!,Entire apartment, Old City,89,5  , 1  , 3  , 1 bath,Wifi , Kitchen , Heating,None,https://airbnb.com/rooms/32214337?previous_page_section_name=1000&federated_search_id=37c612bc-6089-4f9e-a5dc-23aeb0d8a7e7
9, Mearns House: A Beautiful Mt  Airy Carriage House,Entire house, Northwest Philadelphia,86,2  , 1  , 1  , 1 bath,Wifi , Kitchen , Heating , Self check-in,https://airbnb.com/rooms/33486353?previous_page_section_name=1000&federated_search_id=37c612bc-6089-4f9e-a5dc-23aeb0d8a7e7
10, Cobblestone Old City Delight A Location   Sleeps 4,Entire townhouse, Old City,148,4  , 2  , 2  , 2.5 baths,Wifi , Kitchen , Heating,None,https://airbnb.com/rooms/39437417?previous_page_section_name=1000&federated_search_id=37c612bc-6089-4f9e-a5dc-23aeb0d8a7e7
11, Charming Modern One Bedroom Apartment in Old City!,Entire apartment, Old City,54,2  , 1  , 1  , 1 bath,Kitchen , Heating,None,None,https://airbnb.com/rooms/36130493?previous_page_section_name=1000&federated_search_id=37c612bc-6089-4f9e-a5dc-23aeb0d8a7e7
12, The Coachman's House,Entire place, Northwest Philadelphia,70,2  , 1  , 1  , 1 bath,Wifi , Heating,None,None,https://airbnb.com/rooms/20896116?previous_page_section_name=1000&federated_search_id=37c612bc-6089-4f9e-a5dc-23aeb0d8a7e7
13, New Listing  Grad Pointe Rooftop Patio Elevator Gym  Coffee,Entire apartment, South Philadelphia,110,6  , 2  , 3  , 2 baths,Wifi , Kitchen , Heating , Self check-in,https://airbnb.com/rooms/47032596?previous_page_section_name=1000&federated_search_id=37c612bc-6089-4f9e-a5dc-23aeb0d8a7e7
14, Charming Suite in Boutique Style Building,Private room, Poplar,48,2  , Studio , 1  , 1 private bath,Wifi , Kitchen , Heating , Self check-in,https://airbnb.com/rooms/36488641?previous_page_section_name=1000&federated_search_id=37c612bc-6089-4f9e-a5dc-23aeb0d8a7e7
15, Large Rear Bedroom in N  Fairmount Brewerytown,Private room, Fairmount,40,2  , 1  , 1  , 1.5 shared baths,Wifi , Kitchen , Heating,None,https://airbnb.com/rooms/15818336?previous_page_section_name=1000&federated_search_id=37c612bc-6089-4f9e-a5dc-23aeb0d8a7e7
16, The Small Smoking and Pets Room,Private room, South Philadelphia,27,2  , 1  , 1  , 1 shared bath,Wifi,None,None,None,https://airbnb.com/rooms/36234171?previous_page_section_name=1000&federated_search_id=37c612bc-6089-4f9e-a5dc-23aeb0d8a7e7
17, A Quiet & Clean Space with a Backyard,Private room, South Philadelphia,29,1  , 1  , 1  , 1 shared bath,Wifi , Kitchen , Heating , Self check-in,https://airbnb.com/rooms/43933190?previous_page_section_name=1000&federated_search_id=37c612bc-6089-4f9e-a5dc-23aeb0d8a7e7
18, 301B Clean and Cozy Center City Studio,Entire apartment, Gayborhood,55,2  , Studio , 0  , 1 bath,Wifi , Kitchen , Heating , Self check-in,https://airbnb.com/rooms/37051109?previous_page_section_name=1000&federated_search_id=37c612bc-6089-4f9e-a5dc-23aeb0d8a7e7
19, Studio apartment,Entire townhouse, Old City,61,2  , 1  , 1  , 1 bath,Wifi , Kitchen , Heating , Self check-in,https://airbnb.com/rooms/10526877?previous_page_section_name=1000&federated_search_id=37c612bc-6089-4f9e-a5dc-23aeb0d8a7e7
0,  Rittenhouse Square  Hidden Gem   Walk everywhere!,Private room, Center City,36,2  , 1  , 1  , 2 shared baths,Wifi , Air conditioning,None,None,https://airbnb.com/rooms/19180901?previous_page_section_name=1000&federated_search_id=50528d01-815b-4074-825f-89f7399fea3e
1, 230AA3 new rehab,Private room, Overbrook Park,30,1  , 1  , 0  , 1 shared bath,Wifi , Air conditioning , Washer , Dryer,https://airbnb.com/rooms/46460413?previous_page_section_name=1000&federated_search_id=50528d01-815b-4074-825f-89f7399fea3e
2, Historic 2BD Apt in the Heart of Center City,Entire apartment, Gayborhood,45,6  , 2  , 2  , 1 bath,Wifi , Self check-in , Indoor fireplace , Air conditioning,https://airbnb.com/rooms/39167387?previous_page_section_name=1000&federated_search_id=50528d01-815b-4074-825f-89f7399fea3e
3, 4 beds 2 5 baths! STEPS from Liberty Bell!,Entire apartment, Society HIll,185,10  , 4  , 4  , 2.5 baths,Wifi , Air conditioning , Dishwasher , Kitchen,https://airbnb.com/rooms/44224079?previous_page_section_name=1000&federated_search_id=50528d01-815b-4074-825f-89f7399fea3e
4, New Listing  Grad Pointe Rooftop Patio Elevator Gym  Coffee,Entire apartment, South Philadelphia,110,6  , 2  , 3  , 2 baths,Wifi , Elevator , Self check-in , Breakfast,https://airbnb.com/rooms/47032596?previous_page_section_name=1000&federated_search_id=50528d01-815b-4074-825f-89f7399fea3e
5, Charming & Bright Room close to Downtown   B1,Private room, North Central,37,2  , 1  , 1  , 2 shared baths,Wifi , Self check-in , Hot tub , Air conditioning,https://airbnb.com/rooms/42928017?previous_page_section_name=1000&federated_search_id=50528d01-815b-4074-825f-89f7399fea3e
6, Charming Modern One Bedroom Apartment in Old City!,Entire apartment, Old City,54,2  , 1  , 1  , 1 bath,Elevator , Gym , Air conditioning , Washer,https://airbnb.com/rooms/36130493?previous_page_section_name=1000&federated_search_id=50528d01-815b-4074-825f-89f7399fea3e
7, Chic and Spacious Penthouse  w Deck at Passyunk Sq,Entire apartment, Passyunk Square,71,5  , 1  , 1  , 1 bath,Wifi , Self check-in , Air conditioning , Washer,https://airbnb.com/rooms/39167409?previous_page_section_name=1000&federated_search_id=50528d01-815b-4074-825f-89f7399fea3e
8, The Dreamers Residence Convenient 1BD Center City,Entire apartment, Gayborhood,69,6  , 1  , 1  , 1 bath,Wifi , Self check-in , Air conditioning , Washer,https://airbnb.com/rooms/41116579?previous_page_section_name=1000&federated_search_id=50528d01-815b-4074-825f-89f7399fea3e
9, Easy Access to Center City and Major driving routes ,Entire apartment, North Philadelphia,53,2  , 1  , 1  , 1 bath,Wifi , Self check-in , Pets allowed , Air conditioning,https://airbnb.com/rooms/43105393?previous_page_section_name=1000&federated_search_id=50528d01-815b-4074-825f-89f7399fea3e
10,  Modern Private Room 4   Near Fishtown viaTrain!!,Private room, Northeast Philadelphia,22,2  , Studio , 1  , 1 shared bath,Wifi , Self check-in , Air conditioning,None,https://airbnb.com/rooms/38092484?previous_page_section_name=1000&federated_search_id=50528d01-815b-4074-825f-89f7399fea3e
11, Serene Work Oasis   Perfect Hideaway (Olney),Private room, Olney,25,2  , 1  , 1  , 1 shared bath,Wifi , Self check-in , Free parking , Kitchen,https://airbnb.com/rooms/46774261?previous_page_section_name=1000&federated_search_id=50528d01-815b-4074-825f-89f7399fea3e
12, Philly Perfection! Sleeps 17! Free Street Parking!,Entire townhouse, Point Breeze,206,16  , 5  , 10  , 3.5 baths,Wifi , Self check-in , Indoor fireplace , Air conditioning,https://airbnb.com/rooms/28832188?previous_page_section_name=1000&federated_search_id=50528d01-815b-4074-825f-89f7399fea3e
13, Bi Level Studio,Entire apartment, North Central,60,6  , 1  , 1  , 1.5 baths,Wifi , Air conditioning , Free parking , Washer,https://airbnb.com/rooms/47102197?previous_page_section_name=1000&federated_search_id=50528d01-815b-4074-825f-89f7399fea3e
14, Modern Retreat With Views in The Italian Market,Private room, South Philadelphia,24,2  , 1  , 2  , 1.5 shared baths,Wifi , Air conditioning , Washer , Dryer,https://airbnb.com/rooms/47010087?previous_page_section_name=1000&federated_search_id=50528d01-815b-4074-825f-89f7399fea3e
15, Central  Clean 1BR Next to Magic Garden Murals,Entire apartment, South Philadelphia,90,3  , 1  , 1  , 1 bath,Wifi , Self check-in , Air conditioning , Washer,https://airbnb.com/rooms/21562442?previous_page_section_name=1000&federated_search_id=50528d01-815b-4074-825f-89f7399fea3e
16, Casa de Good Vibes,Entire apartment, South Philadelphia,75,1  , 1  , 1  , 1 bath,Wifi , Pets allowed , Air conditioning , Washer,https://airbnb.com/rooms/45398253?previous_page_section_name=1000&federated_search_id=50528d01-815b-4074-825f-89f7399fea3e
17, The Gallery  Stunning 6BD House  w SPA and Parking,Entire house, Franklintown,175,16  , 6  , 6  , 5.5 baths,Wifi , Self check-in , Air conditioning , Free parking,https://airbnb.com/rooms/26227618?previous_page_section_name=1000&federated_search_id=50528d01-815b-4074-825f-89f7399fea3e
18, Minimalist 2C West Philly Private Rm Wifi Smart TV,Private room, Haddington,24,2  , 1  , 1  , 2 shared baths,Wifi , Self check-in , Air conditioning , Kitchen,https://airbnb.com/rooms/43673803?previous_page_section_name=1000&federated_search_id=50528d01-815b-4074-825f-89f7399fea3e
19, Light filled  Spacious Room in Art Museum Area,Private room, Fairmount,30,2  , 1  , 1  , 1 shared bath,Wifi , Air conditioning , Dishwasher , Kitchen,https://airbnb.com/rooms/43594866?previous_page_section_name=1000&federated_search_id=50528d01-815b-4074-825f-89f7399fea3e
0, Gem near Rittenhouse   The Loft,Entire loft, South Philadelphia,132,2  , 1  , 1  , 1 bath,Wifi , Kitchen , Heating , Self check-in,https://airbnb.com/rooms/25579958?previous_page_section_name=1000&federated_search_id=cd65ef16-65f0-4c26-9858-dd7dc2dc821e
1, HUGE BI LEVEL LOFT ACROSS FROM RITTENHOUSE SQUARE!,Entire loft, Center City,65,4  , 1  , 2  , 1 bath,Wifi , Kitchen , Heating , Self check-in,https://airbnb.com/rooms/25139305?previous_page_section_name=1000&federated_search_id=cd65ef16-65f0-4c26-9858-dd7dc2dc821e
2, Cozy Suite in Boutique Style Building,Private room, Poplar,49,2  , Studio , 0  , 1 private bath,Wifi , Kitchen , Heating , Self check-in,https://airbnb.com/rooms/36685500?previous_page_section_name=1000&federated_search_id=cd65ef16-65f0-4c26-9858-dd7dc2dc821e
3, Close to Center City   Newly Renovated Studio 3,Entire apartment, Poplar,71,2  , Studio , 1  , 1 bath,Wifi , Heating , Self check-in,None,https://airbnb.com/rooms/46107752?previous_page_section_name=1000&federated_search_id=cd65ef16-65f0-4c26-9858-dd7dc2dc821e
4, GroundFloor BsmtApt Parking 15M>AirPort&CenterCity,Entire townhouse, Bellmawr,59,2  , 1  , 1  , 1 bath,Wifi , Kitchen , Heating , Self check-in,https://airbnb.com/rooms/46086601?previous_page_section_name=1000&federated_search_id=cd65ef16-65f0-4c26-9858-dd7dc2dc821e
5, Newly renovated  spacious house near Univ  City,Entire house, Southwest Philadelphia,57,5  , 3  , 3  , 1 bath,Wifi , Kitchen , Heating , Self check-in,https://airbnb.com/rooms/36643272?previous_page_section_name=1000&federated_search_id=cd65ef16-65f0-4c26-9858-dd7dc2dc821e
6, Main Line Home: convenient to Philadelphia,Entire house, West Philadelphia,100,8  , 4  , 4  , 3.5 baths,Wifi , Kitchen , Heating,None,https://airbnb.com/rooms/45133407?previous_page_section_name=1000&federated_search_id=cd65ef16-65f0-4c26-9858-dd7dc2dc821e
7, A Renovated Cozy Retreat near the Art Museum,Private room, Francisville,34,2  , 1  , 1  , 1 shared bath,Wifi , Heating , Self check-in,None,https://airbnb.com/rooms/25026388?previous_page_section_name=1000&federated_search_id=cd65ef16-65f0-4c26-9858-dd7dc2dc821e
8, Luxury Hideaway  Paradise Suite USMLE Step 2CS,Entire guest suite, University City,64,2  , 1  , 1  , 1 bath,Wifi , Heating , Self check-in,None,https://airbnb.com/rooms/30321176?previous_page_section_name=1000&federated_search_id=cd65ef16-65f0-4c26-9858-dd7dc2dc821e
9, Park View   Bright and Spacious Private Room!,Private room, University City,47,2  , 1  , 1  , 2 shared baths,Wifi , Heating , Self check-in,None,https://airbnb.com/rooms/22956712?previous_page_section_name=1000&federated_search_id=cd65ef16-65f0-4c26-9858-dd7dc2dc821e
10, Your Quiet Cozy Space in South Philly,Private room, South Philadelphia,29,2  , 1  , 2  , 1 private bath,Wifi , Kitchen , Heating , Self check-in,https://airbnb.com/rooms/33186979?previous_page_section_name=1000&federated_search_id=cd65ef16-65f0-4c26-9858-dd7dc2dc821e
11, LIBERTY BELL  URBAN LODGE  NEAR CENTER CITY,Entire townhouse, North Philadelphia,63,5  , 2  , 2  , 2 baths,Wifi , Kitchen , Heating , Self check-in,https://airbnb.com/rooms/11622692?previous_page_section_name=1000&federated_search_id=cd65ef16-65f0-4c26-9858-dd7dc2dc821e
12, Apple Hostels Philly 18 Bed Female Dorm C,Hotel room, Old City,34,2  , 1  , 0  , 4 baths,Wifi , Kitchen , Heating,None,https://airbnb.com/rooms/12319078?previous_page_section_name=1000&federated_search_id=cd65ef16-65f0-4c26-9858-dd7dc2dc821e
13, Private Apt in Historic Filter Square Townhouse,Entire townhouse, Center City,45,1  , 1  , 1  , 1.5 baths,Wifi , Heating,None,None,https://airbnb.com/rooms/36478492?previous_page_section_name=1000&federated_search_id=cd65ef16-65f0-4c26-9858-dd7dc2dc821e
14, Maple Shade Township Home 15 Minutes from Philly!,Entire apartment, Maple Shade Township,65,2  , 1  , 2  , 1 bath,Wifi , Kitchen , Heating,None,https://airbnb.com/rooms/45734957?previous_page_section_name=1000&federated_search_id=cd65ef16-65f0-4c26-9858-dd7dc2dc821e
15, Rittenhouse Sq  Gem Steps from Center City (3),Private room, Center City,64,2  , 1  , 1  , 2.5 shared baths,Wifi , Kitchen , Heating , Self check-in,https://airbnb.com/rooms/32639746?previous_page_section_name=1000&federated_search_id=cd65ef16-65f0-4c26-9858-dd7dc2dc821e
16, COZY STUDIO 1 by UPenn  Drexell  Penn  Hosp  CHOP,Entire apartment, University City,42,2  , Studio , 2  , 1 bath,Wifi , Heating , Self check-in,None,https://airbnb.com/rooms/24224584?previous_page_section_name=1000&federated_search_id=cd65ef16-65f0-4c26-9858-dd7dc2dc821e
17, Exquisite Old City Charm   A  Location   Sleeps 4,Entire apartment, Old City,101,4  , 1  , 2  , 1 bath,Wifi , Kitchen , Heating,None,https://airbnb.com/rooms/38091742?previous_page_section_name=1000&federated_search_id=cd65ef16-65f0-4c26-9858-dd7dc2dc821e
18, BlueWavePlace 15min to Philly's Old City,Entire house, Pennsauken,91,4  , 2  , 2  , 1 bath,Wifi , Kitchen , Heating , Self check-in,https://airbnb.com/rooms/20171388?previous_page_section_name=1000&federated_search_id=cd65ef16-65f0-4c26-9858-dd7dc2dc821e
19, B2  Large Room with Shared Bathroom,Private room, South Philadelphia,33,2  , 1  , 1  , 1 shared bath,Wifi , Kitchen , Heating , Self check-in,https://airbnb.com/rooms/13915302?previous_page_section_name=1000&federated_search_id=cd65ef16-65f0-4c26-9858-dd7dc2dc821e
0, Cool 1 Bedroom,Entire apartment, North Central,37,4  , 1  , 2  , 1 bath,Wifi , Self check-in , Breakfast , Pets allowed,https://airbnb.com/rooms/32064545?previous_page_section_name=1000&federated_search_id=48a0d845-8332-433b-bd7b-76f77ee84baf
1, Cobblestone Old City Delight A Location   Sleeps 4,Entire townhouse, Old City,148,4  , 2  , 2  , 2.5 baths,Wifi , Indoor fireplace , Air conditioning , Washer,https://airbnb.com/rooms/39437417?previous_page_section_name=1000&federated_search_id=48a0d845-8332-433b-bd7b-76f77ee84baf
2, Rittenhouse Sq  Gem Steps from Center City,Private room, Center City,73,2  , 1  , 1  , 2.5 shared baths,Wifi , Self check-in , Indoor fireplace , Air conditioning,https://airbnb.com/rooms/32639589?previous_page_section_name=1000&federated_search_id=48a0d845-8332-433b-bd7b-76f77ee84baf
3, Bi Level Studio,Entire apartment, North Central,60,6  , 1  , 1  , 1.5 baths,Wifi , Air conditioning , Free parking , Washer,https://airbnb.com/rooms/47102197?previous_page_section_name=1000&federated_search_id=48a0d845-8332-433b-bd7b-76f77ee84baf
4, Luxury room and Roof deck with sweeping view!,Private room, Point Breeze,70,2  , 1  , 1  , 1 shared bath,Wifi , Self check-in , Air conditioning , Dishwasher,https://airbnb.com/rooms/28409064?previous_page_section_name=1000&federated_search_id=48a0d845-8332-433b-bd7b-76f77ee84baf
5, Cozy Private Room3 Parking Smart TV Weekly $224,Private room, University City,35,2  , 1  , 1  , 1.5 shared baths,Wifi , Air conditioning , Washer , Dryer,https://airbnb.com/rooms/37593023?previous_page_section_name=1000&federated_search_id=48a0d845-8332-433b-bd7b-76f77ee84baf
6, Haverford Movie Theatre Themed Room,Private room, University City,40,1  , 1  , 1  , 1 shared bath,Wifi , Self check-in , Air conditioning , Kitchen,https://airbnb.com/rooms/11437552?previous_page_section_name=1000&federated_search_id=48a0d845-8332-433b-bd7b-76f77ee84baf
7, Rustic  Private  Quiet Room in Historic Germantown,Private room, Northwest Philadelphia,22,1  , 1  , 1  , 2.5 shared baths,Wifi , Air conditioning , Washer , Dryer,https://airbnb.com/rooms/22675028?previous_page_section_name=1000&federated_search_id=48a0d845-8332-433b-bd7b-76f77ee84baf
8, Cozy 2BD Home w  Private Patio,Entire townhouse, Northeast Philadelphia,72,6  , 2  , 3  , 1.5 baths,Wifi , Self check-in , Air conditioning , Washer,https://airbnb.com/rooms/23556820?previous_page_section_name=1000&federated_search_id=48a0d845-8332-433b-bd7b-76f77ee84baf
9, Downtown Romantic Gem   Walk to Center City!,Private room, Poplar,39,2  , Studio , 1  , 2 baths,Wifi , Air conditioning,None,None,https://airbnb.com/rooms/39443279?previous_page_section_name=1000&federated_search_id=48a0d845-8332-433b-bd7b-76f77ee84baf
10, Stylish  Sleek and Simple 1 Bedroom   Francisville,Entire apartment, North Central,46,2  , 1  , 0  , 1 bath,Wifi , Self check-in , Air conditioning , Washer,https://airbnb.com/rooms/45580961?previous_page_section_name=1000&federated_search_id=48a0d845-8332-433b-bd7b-76f77ee84baf
11,  Classic  Art Museum Studio w  Private Balcony,Private room, Franklintown,56,2  , 1  , 1  , 1 shared bath,Wifi , Air conditioning , Kitchen,None,https://airbnb.com/rooms/39501641?previous_page_section_name=1000&federated_search_id=48a0d845-8332-433b-bd7b-76f77ee84baf
12, West Philly Gem   Peaceful Private Room,Private room, Mill Creek,56,2  , 1  , 1  , 1.5 shared baths,Wifi , Self check-in , Air conditioning , Free parking,https://airbnb.com/rooms/46542037?previous_page_section_name=1000&federated_search_id=48a0d845-8332-433b-bd7b-76f77ee84baf
13, Beautiful 3BD Apt in the Heart of Center City,Entire apartment, Center City,49,8  , 3  , 3  , 2 baths,Wifi , Self check-in , Air conditioning , Washer,https://airbnb.com/rooms/39167377?previous_page_section_name=1000&federated_search_id=48a0d845-8332-433b-bd7b-76f77ee84baf
14, West philly,Private room, West Philadelphia,28,2  , 1  , 1  , 1.5 shared baths,Wifi , Breakfast , Pets allowed , Air conditioning,https://airbnb.com/rooms/31316035?previous_page_section_name=1000&federated_search_id=48a0d845-8332-433b-bd7b-76f77ee84baf
15,  THE LARGEST PRIVATE BEDROOM IN UNIVERSITY CITY!! ,Private room, University City,59,2  , 1  , 1  , 2 shared baths,Wifi , Self check-in , Air conditioning , Washer,https://airbnb.com/rooms/45648299?previous_page_section_name=1000&federated_search_id=48a0d845-8332-433b-bd7b-76f77ee84baf
16, A South Philly Couch,Shared room, South Philadelphia,20,1  , 1  , 1  , 1 shared bath,Wifi,None,None,None,https://airbnb.com/rooms/46700818?previous_page_section_name=1000&federated_search_id=48a0d845-8332-433b-bd7b-76f77ee84baf
17, Cozy Suite in Boutique Style Building,Private room, Poplar,49,2  , Studio , 0  , 1 private bath,Wifi , Self check-in , Air conditioning , Dishwasher,https://airbnb.com/rooms/36685500?previous_page_section_name=1000&federated_search_id=48a0d845-8332-433b-bd7b-76f77ee84baf
18, Charming Studio Apartment in Fitler Square,Entire apartment, Center City,42,1  , Studio , 1  , 1 bath,Wifi , Pets allowed , Air conditioning , Washer,https://airbnb.com/rooms/37648495?previous_page_section_name=1000&federated_search_id=48a0d845-8332-433b-bd7b-76f77ee84baf
19, Gorgeous room w private bath in great neighborhood,Private room, South Philadelphia,56,2  , 1  , 1  , 1 private bath,Wifi , Air conditioning , Washer , Dryer,https://airbnb.com/rooms/46581014?previous_page_section_name=1000&federated_search_id=48a0d845-8332-433b-bd7b-76f77ee84baf
0, Fantastic Old City Trinity   Roofdeck! Sleeps 6!,Entire condominium, Old City,152,6  , 2  , 4  , 2 baths,Wifi , Indoor fireplace , Air conditioning , Washer,https://airbnb.com/rooms/38693239?previous_page_section_name=1000&federated_search_id=4260fb4c-0974-4670-9b38-20908c6f58e8
1, Basement bedroom in West Philly house,Private room, University City,20,1  , 1  , 1  , 1 private bath,Wifi , Washer , Dryer , Kitchen,https://airbnb.com/rooms/34625330?previous_page_section_name=1000&federated_search_id=4260fb4c-0974-4670-9b38-20908c6f58e8
2, Lux Oasis   Hot tub roof deck   Skyline Views,Entire house, South Philadelphia,207,15  , 4  , 6  , 3 baths,Wifi , Self check-in , Hot tub , Pets allowed,https://airbnb.com/rooms/46676486?previous_page_section_name=1000&federated_search_id=4260fb4c-0974-4670-9b38-20908c6f58e8
3, West Philly 2B Private Room,Private room, Haddington,24,2  , 1  , 1  , 2 shared baths,Wifi , Self check-in , Air conditioning , Kitchen,https://airbnb.com/rooms/43673748?previous_page_section_name=1000&federated_search_id=4260fb4c-0974-4670-9b38-20908c6f58e8
4,  Classic  Art Museum Studio w  Private Balcony,Private room, Franklintown,56,2  , 1  , 1  , 1 shared bath,Wifi , Air conditioning , Kitchen,None,https://airbnb.com/rooms/39501641?previous_page_section_name=1000&federated_search_id=4260fb4c-0974-4670-9b38-20908c6f58e8
5, Top Floor Center City View  Steps from Rittenhouse,Entire townhouse, Center City,56,5  , 1  , 3  , 1 bath,Wifi , Self check-in , Air conditioning , Kitchen,https://airbnb.com/rooms/44417982?previous_page_section_name=1000&federated_search_id=4260fb4c-0974-4670-9b38-20908c6f58e8
6,  Serene  Downtown Hideaway with Waterfall Shower,Private room, Poplar,37,2  , 1  , 1  , 2.5 shared baths,Wifi , Air conditioning,None,None,https://airbnb.com/rooms/42122724?previous_page_section_name=1000&federated_search_id=4260fb4c-0974-4670-9b38-20908c6f58e8
7, Mini Suite EZ Parking @ Temple Univ  A1,Entire guest suite, North Central,60,1,1,1,1,Wifi , Self check-in , Air conditioning,None,https://airbnb.com/rooms/46768931?previous_page_section_name=1000&federated_search_id=4260fb4c-0974-4670-9b38-20908c6f58e8
8, Modern Studio in Overbrook,Entire apartment, Overbrook,75,2  , Studio , 1  , 1 bath,Wifi , Air conditioning , Free parking , Kitchen,https://airbnb.com/rooms/39935748?previous_page_section_name=1000&federated_search_id=4260fb4c-0974-4670-9b38-20908c6f58e8
9,  THE LARGEST PRIVATE BEDROOM IN UNIVERSITY CITY!! ,Private room, University City,59,2  , 1  , 1  , 2 shared baths,Wifi , Self check-in , Air conditioning , Washer,https://airbnb.com/rooms/45648299?previous_page_section_name=1000&federated_search_id=4260fb4c-0974-4670-9b38-20908c6f58e8
10, 228A2 open porch,Private room, West Philadelphia,20,1  , 1  , 1  , 1 shared bath,Wifi , Self check-in , Air conditioning , Free parking,https://airbnb.com/rooms/29213535?previous_page_section_name=1000&federated_search_id=4260fb4c-0974-4670-9b38-20908c6f58e8
11, Sosuite   Romantic Loft with 180 degrees Views   Discounted Parking,Entire apartment, Poplar,126,2  , 1  , 1  , 1 bath,Wifi , Elevator , Self check-in , Gym,https://airbnb.com/rooms/42335761?previous_page_section_name=1000&federated_search_id=4260fb4c-0974-4670-9b38-20908c6f58e8
12, Homey West Philadelphia Town House,Entire townhouse, Carroll Park,59,4  , 1  , 2  , 1 bath,Wifi , Self check-in , Hot tub , Air conditioning,https://airbnb.com/rooms/45207722?previous_page_section_name=1000&federated_search_id=4260fb4c-0974-4670-9b38-20908c6f58e8
13, Philly❗️1A Private Rm & 🚿 Full Bath🚽❗️SMART TV WiFi,Private room, North Central,29,2  , 1  , 1  , 1 private bath,Wifi , Air conditioning , Kitchen,None,https://airbnb.com/rooms/46239593?previous_page_section_name=1000&federated_search_id=4260fb4c-0974-4670-9b38-20908c6f58e8
14, Stunning 5BD house with roof deck and patio,Entire house, Point Breeze,83,14  , 5  , 5  , 3 baths,Wifi , Self check-in , Air conditioning , Washer,https://airbnb.com/rooms/37114299?previous_page_section_name=1000&federated_search_id=4260fb4c-0974-4670-9b38-20908c6f58e8
15, Spring Garden   Historical Space   Free Parking,Entire apartment, Callowhill,62,2  , Studio , 1  , 1 bath,Wifi , Self check-in , Air conditioning , Free parking,https://airbnb.com/rooms/41589132?previous_page_section_name=1000&federated_search_id=4260fb4c-0974-4670-9b38-20908c6f58e8
16,    ARTSY HIDDEN GEM   FREE PARKING   ,Private room, Northeast Philadelphia,49,2  , 1  , 1  , 1 private bath,Wifi , Self check-in , Indoor fireplace , Pets allowed,https://airbnb.com/rooms/14682020?previous_page_section_name=1000&federated_search_id=4260fb4c-0974-4670-9b38-20908c6f58e8
17, Rittenhouse Sq  Gem Steps from Center City,Private room, Center City,73,2  , 1  , 1  , 2.5 shared baths,Wifi , Self check-in , Indoor fireplace , Air conditioning,https://airbnb.com/rooms/32639589?previous_page_section_name=1000&federated_search_id=4260fb4c-0974-4670-9b38-20908c6f58e8
18, Luxurious Corner Unit Close to Center City,Private room, Francisville,36,2  , 1  , 1  , 1 shared bath,Wifi , Self check-in , Air conditioning,None,https://airbnb.com/rooms/16561537?previous_page_section_name=1000&federated_search_id=4260fb4c-0974-4670-9b38-20908c6f58e8
