,0,1,2,3,4,5,6,7,8,9,10,11,12
3, Cozy room! Amazing Location! Great Price! #4,Private room, Everett,49,2  , 1  , 1  , 1 shared bath,Wifi , Air conditioning , Free parking , Self check-in,https://airbnb.com/rooms/37365036?previous_page_section_name=1000&federated_search_id=9da57844-cddc-4528-8bca-38e76a18c832
4, 1880's BostonTownhouse With PrivateBath RedLine,Private room, Dorchester,43,2  , 1  , 1  , 1.5 baths,Wifi , Air conditioning , Kitchen , Breakfast,https://airbnb.com/rooms/19117781?previous_page_section_name=1000&federated_search_id=9da57844-cddc-4528-8bca-38e76a18c832
5, FOUND Boston Common   Single Room,Room, boutique hotel Downtown,73,1  , 1  , 1  , 1 private bath,Wifi , Air conditioning,None,None,https://airbnb.com/rooms/45449241?previous_page_section_name=1000&federated_search_id=9da57844-cddc-4528-8bca-38e76a18c832
6,   Chic  Clean & Large   Professionally Cleaned!  ,Private room, East Boston,44,2  , 1  , 1  , 2.5 shared baths,Wifi , Air conditioning , Kitchen , Self check-in,https://airbnb.com/rooms/22099733?previous_page_section_name=1000&federated_search_id=9da57844-cddc-4528-8bca-38e76a18c832
7, (X5) Newly styled Back Bay studio,Entire apartment, Back Bay,84,2  , Studio , 1  , 1 bath,Wifi , Air conditioning , Kitchen , Pets allowed,https://airbnb.com/rooms/44428964?previous_page_section_name=1000&federated_search_id=9da57844-cddc-4528-8bca-38e76a18c832
8, Newly Renovated Boston College Studio,Entire guest suite, Allston-Brighton,53,2  , Studio , 1  , 1 bath,Wifi , Air conditioning , Free parking , Washer,https://airbnb.com/rooms/22886713?previous_page_section_name=1000&federated_search_id=9da57844-cddc-4528-8bca-38e76a18c832
9,  Clean   Cozy Bedroom   Close to Subway & Airport ,Private room, East Boston,46,2  , 1  , 1  , 2 shared baths,Wifi , Air conditioning , Kitchen , Washer,https://airbnb.com/rooms/18342707?previous_page_section_name=1000&federated_search_id=9da57844-cddc-4528-8bca-38e76a18c832
10, Downtown Theater District & Boston Common Park,Entire apartment, Chinatown,82,3  , 1  , 1  , 1 bath,Wifi , Air conditioning , Kitchen , Elevator,https://airbnb.com/rooms/24378766?previous_page_section_name=1000&federated_search_id=9da57844-cddc-4528-8bca-38e76a18c832
11, FOUND Boston Common   Standard Full Room,Room, boutique hotel Back Bay,83,2  , 1  , 1  , 1 shared bath,Wifi , Air conditioning , Washer , Dryer,https://airbnb.com/rooms/45347651?previous_page_section_name=1000&federated_search_id=9da57844-cddc-4528-8bca-38e76a18c832
12, Sweet 1BR with Parking steps from Union Square ,Entire apartment, Somerville,57,4  , 1  , 2  , 1 bath,Wifi , Kitchen , Free parking , Pets allowed,https://airbnb.com/rooms/45722399?previous_page_section_name=1000&federated_search_id=9da57844-cddc-4528-8bca-38e76a18c832
13, Stylish & Comfortable Newbury St Studio  #10,Entire apartment, Back Bay,70,2  , 1  , 1  , 1 bath,Wifi , Air conditioning , Kitchen , Washer,https://airbnb.com/rooms/6759004?previous_page_section_name=1000&federated_search_id=9da57844-cddc-4528-8bca-38e76a18c832
14, keyless private room near MIT Central Sq 2,Private room, Cambridge,45,4  , 1  , 2  , 2 shared baths,Wifi , Air conditioning , Kitchen,None,https://airbnb.com/rooms/33245746?previous_page_section_name=1000&federated_search_id=9da57844-cddc-4528-8bca-38e76a18c832
15, Book the Semester,Entire condominium, Fenway/Kenmore,61,2  , 1  , 1  , 1 bath,Air conditioning , Kitchen , Washer , Dryer,https://airbnb.com/rooms/43798387?previous_page_section_name=1000&federated_search_id=9da57844-cddc-4528-8bca-38e76a18c832
16, Comfy Beacon Hill Studio Great for Work Travel #7,Entire apartment, Beacon Hill,81,2  , 1  , 1  , 1 bath,Wifi , Kitchen , Washer , Dryer,https://airbnb.com/rooms/7832890?previous_page_section_name=1000&federated_search_id=9da57844-cddc-4528-8bca-38e76a18c832
